,auc_prob,auc_pred,fbeta,f1,plr,nlr,perm_score,pval_score,train_score,fold,gen,model,subset
9,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
0,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
1,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
2,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
3,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
4,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
5,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
6,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
7,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
8,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
9,0.52826,0.53721,0.72454,0.72454,1.18525,0.87559,0.50088,0.0198,0.56434,4,combine,bnb,top5
0,0.50279,0.51676,0.92681,0.92681,1.44745,0.96377,0.49998,0.0495,0.54414,0,m,dtc,top5
1,0.50279,0.51676,0.92681,0.92681,1.44745,0.96377,0.5006,0.0495,0.54414,0,m,dtc,top5
2,0.50338,0.51707,0.92715,0.92715,1.45972,0.96311,0.50056,0.0495,0.53817,0,m,dtc,top5
3,0.50279,0.51676,0.92681,0.92681,1.44745,0.96377,0.49996,0.0495,0.54414,0,m,dtc,top5
4,0.50279,0.51676,0.92681,0.92681,1.44745,0.96377,0.50035,0.0495,0.53817,0,m,dtc,top5
5,0.50279,0.51676,0.92681,0.92681,1.44745,0.96377,0.50032,0.0495,0.54414,0,m,dtc,top5
6,0.50338,0.51707,0.92715,0.92715,1.45972,0.96311,0.5001,0.0495,0.54414,0,m,dtc,top5
7,0.50338,0.51707,0.92715,0.92715,1.45972,0.96311,0.49992,0.0495,0.54414,0,m,dtc,top5
8,0.50279,0.51676,0.92681,0.92681,1.44745,0.96377,0.50015,0.0495,0.54414,0,m,dtc,top5
9,0.50279,0.51676,0.92681,0.92681,1.44745,0.96377,0.50018,0.0495,0.53817,0,m,dtc,top5
0,0.52911,0.5246,0.82872,0.82872,1.19802,0.93455,0.49925,0.05941,0.54275,1,m,dtc,top5
1,0.50772,0.50556,0.72076,0.72076,1.02743,0.98129,0.49614,0.08911,0.52831,1,m,dtc,top5
2,0.54124,0.53412,0.77949,0.77949,1.2102,0.89897,0.49809,0.0396,0.5397,1,m,dtc,top5
3,0.53937,0.52086,0.79323,0.79323,1.13742,0.94011,0.49692,0.0495,0.53914,1,m,dtc,top5
4,0.528,0.51966,0.76735,0.76735,1.11512,0.94027,0.49813,0.0495,0.53446,1,m,dtc,top5
5,0.51524,0.51836,0.8355,0.8355,1.15487,0.95187,0.49712,0.05941,0.53277,1,m,dtc,top5
6,0.54132,0.54346,0.84519,0.84519,1.39045,0.88819,0.49525,0.08911,0.5311,1,m,dtc,top5
7,0.53972,0.53604,0.74897,0.74897,1.19569,0.88587,0.49828,0.10891,0.52604,1,m,dtc,top5
8,0.5389,0.53604,0.74897,0.74897,1.19569,0.88587,0.49833,0.13861,0.52513,1,m,dtc,top5
9,0.53264,0.52748,0.76188,0.76188,1.15709,0.91548,0.49475,0.54455,0.49247,1,m,dtc,top5
0,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49912,0.0099,0.58271,2,m,dtc,top5
1,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49914,0.0099,0.58271,2,m,dtc,top5
2,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49926,0.0099,0.58271,2,m,dtc,top5
3,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49942,0.0099,0.58271,2,m,dtc,top5
4,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49895,0.0099,0.58271,2,m,dtc,top5
5,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49905,0.0099,0.58271,2,m,dtc,top5
6,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49933,0.0099,0.58271,2,m,dtc,top5
7,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49937,0.0099,0.58271,2,m,dtc,top5
8,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49911,0.0099,0.58271,2,m,dtc,top5
9,0.50522,0.47573,0.59081,0.59081,0.91338,1.11045,0.49925,0.0099,0.58271,2,m,dtc,top5
0,0.50294,0.49865,0.61148,0.61148,0.99499,1.00585,0.49583,0.30693,0.50867,3,m,dtc,top5
1,0.53634,0.52062,0.6798,0.6798,1.08991,0.92379,0.49833,0.20792,0.51773,3,m,dtc,top5
2,0.4816,0.48914,0.77356,0.77356,0.93446,1.03246,0.49841,0.50495,0.49762,3,m,dtc,top5
3,0.54227,0.54486,0.55418,0.55418,1.14935,0.77527,0.49847,0.73267,0.4871,3,m,dtc,top5
4,0.47497,0.48638,0.74451,0.74451,0.92686,1.04341,0.49893,0.39604,0.50521,3,m,dtc,top5
5,0.49082,0.49556,0.62702,0.62702,0.98296,1.01852,0.4993,0.29703,0.50851,3,m,dtc,top5
6,0.5655,0.54976,0.62959,0.62959,1.19157,0.79286,0.50102,0.56436,0.49699,3,m,dtc,top5
7,0.49785,0.49706,0.7076,0.7076,0.98609,1.01018,0.50068,0.80198,0.48169,3,m,dtc,top5
8,0.49192,0.50301,0.47888,0.47888,1.00896,0.98159,0.49914,0.32673,0.50728,3,m,dtc,top5
9,0.54311,0.53185,0.55169,0.55169,1.10566,0.83955,0.49653,0.64356,0.48744,3,m,dtc,top5
0,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50272,0.25743,0.51767,4,m,dtc,top5
1,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50289,0.22772,0.52065,4,m,dtc,top5
2,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50289,0.24752,0.51767,4,m,dtc,top5
3,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50283,0.25743,0.51767,4,m,dtc,top5
4,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50257,0.25743,0.51767,4,m,dtc,top5
5,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.5029,0.23762,0.51767,4,m,dtc,top5
6,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50276,0.24752,0.51767,4,m,dtc,top5
7,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50278,0.24752,0.51767,4,m,dtc,top5
8,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.50267,0.21782,0.52065,4,m,dtc,top5
9,0.5501,0.53856,0.75265,0.75265,1.21226,0.87886,0.5029,0.24752,0.51767,4,m,dtc,top5
0,0.49818,0.4876,0.90122,0.90122,0.79537,1.02822,0.49902,0.57426,0.49648,0,f,dtc,top5
1,0.49561,0.5084,0.45527,0.45527,1.02419,0.94511,0.5019,0.94059,0.47289,0,f,dtc,top5
2,0.51712,0.5185,0.51645,0.51645,1.058,0.8979,0.49705,0.46535,0.49654,0,f,dtc,top5
3,0.49561,0.5084,0.45527,0.45527,1.02419,0.94511,0.49828,0.35644,0.50511,0,f,dtc,top5
